3510,VENUS OF CANOVA FOUNTAIN      ,913
3511,"45"" CONTEMPORARY SWIRL FTN    ",515
3512,"56"" CONTEMPORARY CURVE FTN    ",580
3513,"56"" CONTEMPORARY VASE FOUNTAIN",580
3514,"70""CLASSIC RAMSHEAD FTN W/POOL",2110
3519,"40"" ANGEL URN FOUNTAIN        ",1068
3522,SMALL CALIFORNIA URN FOUNTAIN ,865
3524,"77"" THREE TIER SCALLOP FTN    ",3358
3527,DOUBLE BOWL FTN W/MILANO URN  ,865
3528,GRECIAN LADY ON TULIP FOUNTAIN,1738
3530,THREE TIER FISH STONE FOUNTAIN,730
3531,"60"" CLASSIC RAMSHEAD FOUNTAIN ",1088
3532,FONTINA DI TORINO ON 12' POOL ,25738
3533,FLORAL GARDEN FOUNTAIN        ,780
3534,"40"" CHERUB & SEAHORSE FOUNTAIN",470
3536,KOI GARDEN FOUNTAIN           ,780
3537,"78"" FOUR TIER SONOMA FOUNTAIN ",2565
3538,LION HEAD COLUMN FOUNTAIN     ,913
3539,SUNSHINE GARDEN FOUNTAIN      ,865
3540,NESTING BIRDS ON VINE BOWL FTN,738
3541,BOY RIDING DOLPHIN FOUNTAIN   ,470
3542,STONE GARDEN SPIGOT FOUNTAIN  ,865
3543,COTTAGE GARDEN FOUNTAIN       ,1498
3544,IVY GARDEN FOUNTAIN           ,1625
3545,DOVE OF LOVE ON FLWER SHLL FTN,583
3546,CRETE GARDEN FOUNTAIN         ,1373
3547,CHERUB AND URN FOUNTAIN       ,470
3548,SPRINGTIME GARDEN FOUNTAIN    ,515
3549,POSITANO WELL FOUNTAIN        ,1230
3551,ONE TIER SAVONA FTN IN 8'POOL ,7535
3552,"70""CLASSIC LION HEAD FTN WPOOL",2013
3554,STONE GARDEN FOUNTAIN         ,865
3556,PETITE GARDEN FOUNTAIN        ,270
3557,TWO TIER PINECONE FOUNTAIN    ,933
3558,CLEOPATRA FALLS FOUNTAIN      ,668
3559,ROUND SPA FOUNTAIN            ,913
3561,"60"" CLASSIC LION HEAD FOUNTAIN",1088
3562,OBELISK MOD FOUNTAIN          ,963
